[],"RT @stayfrea_: ALERT‼️‼️‼️
The corona virus can be spread through money. If you have any money at home, put on some gloves, put all the mon…",itsjordanokay,Canadian¤
[],@TVP_Museum All do something sky wanna justice soon so more can be ok all talk evidence every were they traffic chi… https://t.co/IhSXemugz2,1k1Kardo1,London 
[],"RT @yourauntemma: Trump's defective character makes him singularly ill equipped to handle any crisis. His denial of reality, staggering ign…",shadyasstimes,Living Blue in NC
[],RT @grooovybee: The meth you mistook for molly in 2014 was the Corona virus vaccine,theOGbabythot,
[],RT @Ana__Roda: Te falta el virus nomas porque la corona ya la tenes rey de mi corazón mataaaaaaaaaaame si no te sirvo añamembyyyyy guampeam…,Valientecamila_,"José María Ezeiza, Argentina"
[],"RT @stayfrea_: ALERT‼️‼️‼️
The corona virus can be spread through money. If you have any money at home, put on some gloves, put all the mon…",iambethissima,UNC Charlotte 
"['Corona', 'Mittelstand']","Um die Folgen des #Corona-Virus abzuschwächen, muss der Zugang zum Kurzarbeitergeld für den #Mittelstand erleichter… https://t.co/ACqwx1NLg5",KemmerichThL,"Erfurt, Germany"
[],"@SpeakerPelosi So, after many days of trying to Weaponized the Corona virus against Trump, panicking the general pu… https://t.co/Rvs9DsbsKL",TrumpReconing,"Nevada, USA"
[],"@MysterySolvent How come when he misspells something it is on purpose and trolling but he says ""Corona Flu"" and it'… https://t.co/Sq1eDHqAuK",sortbinue,The end of the world.
[],RT @danitegon: Camisinha no dedo por causa de corona mas não no pau com as taxas de IST absurdas vcs me matam de cringe,LauraGualda1,
[],Gilaaak,zulfadhliashari,INDONESIA
"['CoronaVirusSA', 'coronavirus']",RT @AdvoBarryRoux: The 38 year old that tested positive of Corona virus must be taken to Robben Island. #CoronaVirusSA #coronavirus,Toquiojr,"Pretoria, South Africa"
[],"@brayton_newton Google corona virus Israel’s cure 
Check your dm",Machop_066,Space
[],RT @dennaodavid: Queria que o Corona vírus fosse sexualmente transmissível pq pelo menos eu estaria 100% seguro,DeLonge,
[],Breaking:  Dr. Hotez of Baylor medical school says corona virus is 10 times more lethal than flu.  For the elderly… https://t.co/sVosPBO8fj,InWisc88,Wisconsin
[],"RT @stayfrea_: ALERT‼️‼️‼️
The corona virus can be spread through money. If you have any money at home, put on some gloves, put all the mon…",cara_b3th,Nottingham
[],"RT @ikhankapture: Corona who ? 
I’m ready 😤 https://t.co/adygnNXAAl",_donkae,South Africa
